entity_id,entity_name,entity_type,priority,issue_type,issue,missing_fields,candidate_source_urls,status,notes
char:aatrox,Aatrox,CHAMPION,HIGH,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/aatrox/|https://wiki.leagueoflegends.com/en-us/Universe%3AAatrox,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:ahri,Ahri,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/ahri/|https://wiki.leagueoflegends.com/en-us/Universe%3AAhri,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:akali,Akali,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/akali/|https://wiki.leagueoflegends.com/en-us/Universe%3AAkali,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:akshan,Akshan,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/akshan/|https://wiki.leagueoflegends.com/en-us/Universe%3AAkshan,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:alistar,Alistar,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/alistar/|https://wiki.leagueoflegends.com/en-us/Universe%3AAlistar,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:ambessa,Ambessa,CHAMPION,HIGH,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/ambessa/|https://wiki.leagueoflegends.com/en-us/Universe%3AAmbessa,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:amumu,Amumu,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/amumu/|https://wiki.leagueoflegends.com/en-us/Universe%3AAmumu,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:anivia,Anivia,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/anivia/|https://wiki.leagueoflegends.com/en-us/Universe%3AAnivia,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:annie,Annie,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/annie/|https://wiki.leagueoflegends.com/en-us/Universe%3AAnnie,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
char:aphelios,Aphelios,CHAMPION,MEDIUM,PROFILE_ENRICHMENT,Upgrade from indexed profile to source-backed lore-complete profile.,official_title|narrative_roles|species|status|aliases|full_original_summary|timeline|events|relationships|primary_sources,https://www.leagueoflegends.com/en-us/champions/aphelios/|https://wiki.leagueoflegends.com/en-us/Universe%3AAphelios,OPEN,Do not copy long source text. Extract facts and write original concise synthesis.
