claim_id,subject_id,subject_name,predicate,object_id,object_value,claim_type,fact_confidence,canon_status,continuity,source_ids,evidence_note,review_status,needs_review
claim:00001,char:aatrox,Aatrox,ASSOCIATED_WITH_REGION,,Shurima,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:aatrox|src:wiki-universe:aatrox,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00002,char:ahri,Ahri,ASSOCIATED_WITH_REGION,,Ionia,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:ahri|src:wiki-universe:ahri,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00003,char:akali,Akali,ASSOCIATED_WITH_REGION,,Ionia,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:akali|src:wiki-universe:akali,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00004,char:akshan,Akshan,ASSOCIATED_WITH_REGION,,Shurima,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:akshan|src:wiki-universe:akshan,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00005,char:alistar,Alistar,ASSOCIATED_WITH_REGION,,Noxus,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:alistar|src:wiki-universe:alistar,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00006,char:ambessa,Ambessa,ASSOCIATED_WITH_REGION,,Noxus,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:ambessa|src:wiki-universe:ambessa,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00007,char:amumu,Amumu,ASSOCIATED_WITH_REGION,,Shurima,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:amumu|src:wiki-universe:amumu,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00008,char:anivia,Anivia,ASSOCIATED_WITH_REGION,,Freljord,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:anivia|src:wiki-universe:anivia,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00009,char:annie,Annie,ASSOCIATED_WITH_REGION,,Noxus,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:annie|src:wiki-universe:annie,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00010,char:aphelios,Aphelios,ASSOCIATED_WITH_REGION,,Targon,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:aphelios|src:wiki-universe:aphelios,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00011,char:ashe,Ashe,ASSOCIATED_WITH_REGION,,Freljord,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:ashe|src:wiki-universe:ashe,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00012,char:aurelion-sol,Aurelion Sol,ASSOCIATED_WITH_REGION,,Targon,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:aurelion-sol|src:wiki-universe:aurelion-sol,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00013,char:aurora,Aurora,ASSOCIATED_WITH_REGION,,Freljord,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:aurora|src:wiki-universe:aurora,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
claim:00014,char:azir,Azir,ASSOCIATED_WITH_REGION,,Shurima,STRUCTURAL,DERIVED,CURRENT_OR_REVIEW,MAIN_RUNETERRA,src:riot-bio:azir|src:wiki-universe:azir,Seed region association; confirm multi-region nuance during enrichment.,PENDING,TRUE
