relationship_id,source_entity_id,source_name,target_entity_id,target_name,relationship_type,connection_category,confidence,short_explanation,canon_status,continuity,source_ids,source_urls,source_verified,review_status,needs_review,notes
rel:seed:001,char:aatrox,Aatrox,char:pantheon,Pantheon,ENEMY,DIRECT_CANON,DOCUMENTED,Aatrox killed the celestial Aspect of War inhabiting Atreus; Atreus survived and later opposed Aatrox.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:aatrox|src:riot-bio:pantheon,https://www.leagueoflegends.com/en-us/champions/aatrox/|https://www.leagueoflegends.com/en-us/champions/pantheon/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:002,char:akali,Akali,char:shen,Shen,MENTOR_STUDENT,DIRECT_CANON,DOCUMENTED,Akali trained under Shen within the Kinkou before leaving the order.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:akali|src:riot-bio:shen,https://www.leagueoflegends.com/en-us/champions/akali/|https://www.leagueoflegends.com/en-us/champions/shen/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:003,char:akali,Akali,char:kennen,Kennen,KINKOU,DIRECT_CANON,STRONG,Akali and Kennen are tied through the Kinkou Order.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:akali|src:riot-bio:kennen,https://www.leagueoflegends.com/en-us/champions/akali/|https://www.leagueoflegends.com/en-us/champions/kennen/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:004,char:ashe,Ashe,char:sejuani,Sejuani,RIVAL,DIRECT_CANON,DOCUMENTED,Ashe and Sejuani are rival Freljordian war leaders with conflicting visions for the region.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:ashe|src:riot-bio:sejuani,https://www.leagueoflegends.com/en-us/champions/ashe/|https://www.leagueoflegends.com/en-us/champions/sejuani/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:005,char:ashe,Ashe,char:tryndamere,Tryndamere,SPOUSES,DIRECT_CANON,DOCUMENTED,Ashe and Tryndamere are oathbound spouses and political allies.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:ashe|src:riot-bio:tryndamere,https://www.leagueoflegends.com/en-us/champions/ashe/|https://www.leagueoflegends.com/en-us/champions/tryndamere/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:006,char:azir,Azir,char:xerath,Xerath,ENEMIES,DIRECT_CANON,DOCUMENTED,"Xerath betrayed Azir at the moment of Ascension, causing Shurima's fall.",CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:azir|src:riot-bio:xerath,https://www.leagueoflegends.com/en-us/champions/azir/|https://www.leagueoflegends.com/en-us/champions/xerath/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:007,char:azir,Azir,char:sivir,Sivir,ANCESTOR_DESCENDANT,DIRECT_CANON,DOCUMENTED,Sivir's bloodline is tied to Azir and enables his return.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:azir|src:riot-bio:sivir,https://www.leagueoflegends.com/en-us/champions/azir/|https://www.leagueoflegends.com/en-us/champions/sivir/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:008,char:nasus,Nasus,char:renekton,Renekton,BROTHERS,DIRECT_CANON,DOCUMENTED,Nasus and Renekton are brothers who became Ascended.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:nasus|src:riot-bio:renekton,https://www.leagueoflegends.com/en-us/champions/nasus/|https://www.leagueoflegends.com/en-us/champions/renekton/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:009,char:nasus,Nasus,char:xerath,Xerath,ENEMIES,DIRECT_CANON,DOCUMENTED,Nasus opposed Xerath after the fall of Shurima and Renekton's imprisonment.,CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:nasus|src:riot-bio:xerath,https://www.leagueoflegends.com/en-us/champions/nasus/|https://www.leagueoflegends.com/en-us/champions/xerath/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
rel:seed:010,char:renekton,Renekton,char:xerath,Xerath,ENEMIES,DIRECT_CANON,DOCUMENTED,"Renekton and Xerath were trapped together, with Xerath poisoning Renekton's mind against Nasus.",CURRENT_CANON,MAIN_RUNETERRA,src:riot-bio:renekton|src:riot-bio:xerath,https://www.leagueoflegends.com/en-us/champions/renekton/|https://www.leagueoflegends.com/en-us/champions/xerath/,FALSE,PENDING,TRUE,Seed relationship. Verify exact wording against primary Riot narrative sources and official Wiki references before promotion to VERIFIED.
