event_id,name,aliases,era,event_type,description_short,description_long,canon_status,continuity,verified,needs_review,wiki_url,primary_riot_url,source_ids,image_status,image_url,image_source_url,focal_point_x,focal_point_y,mobile_focal_point_x,mobile_focal_point_y,image_search_query,notes
event:creation-universe,Creation of the Universe,,Primordial / Cosmic,HISTORICAL_EVENT,The earliest cosmological stage referenced by Runeterra lore.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3ACreation_of_the_Universe,,src:wiki-event:creation-universe,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Creation of the Universe"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:formation-runeterra,Formation of Runeterra,,Primordial / Cosmic,HISTORICAL_EVENT,The shaping of Runeterra and its realms.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AFormation_of_Runeterra,,src:wiki-event:formation-runeterra,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Formation of Runeterra"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:titan-war,Titan War,,Ancient,HISTORICAL_EVENT,Ancient conflict involving titanic beings during Runeterra's early history.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3ATitan_War,,src:wiki-event:titan-war,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Titan War"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:founding-freljord,Founding of the Freljord,,Ancient Freljord,HISTORICAL_EVENT,The early formation of the Freljord's legendary civilization.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AFounding_of_the_Freljord,,src:wiki-event:founding-freljord,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Founding of the Freljord"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:war-three-sisters,War of the Three Sisters,,Ancient Freljord,HISTORICAL_EVENT,"Ancient conflict associated with Avarosa, Serylda and Lissandra.",,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AWar_of_the_Three_Sisters,,src:wiki-event:war-three-sisters,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""War of the Three Sisters"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:westward-migration,Westward Migration,,Ancient,HISTORICAL_EVENT,A major historical migration identified in the official Wiki timeline.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AWestward_Migration,,src:wiki-event:westward-migration,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Westward Migration"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:golden-age-shurima,Golden Age of Shurima,,Ancient Shurima,HISTORICAL_EVENT,The height of the Shuriman Empire and its Ascended host.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AGolden_Age_of_Shurima,,src:wiki-event:golden-age-shurima,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Golden Age of Shurima"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:void-war,Void War,,Ancient Shurima / Icathia,HISTORICAL_EVENT,The catastrophic conflict triggered by Icathia's use of the Void against Shurima.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AVoid_War,,src:wiki-event:void-war,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Void War"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:fall-shurima,Fall of Shurima,,Ancient Shurima,HISTORICAL_EVENT,The collapse of ancient Shurima around Azir's failed Ascension and Xerath's betrayal.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AFall_of_Shurima,,src:wiki-event:fall-shurima,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Fall of Shurima"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:great-darkin-war,Great Darkin War,,Post-Shurima,HISTORICAL_EVENT,The wars in which corrupted Ascended became the Darkin and were eventually contained.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AGreat_Darkin_War,,src:wiki-event:great-darkin-war,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Great Darkin War"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:ruination-helia,Ruination of Helia,,Ancient / Blessed Isles,HISTORICAL_EVENT,The magical catastrophe that transformed the Blessed Isles into the Shadow Isles.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3ARuination,,src:wiki-event:ruination-helia,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Ruination of Helia"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:rune-wars,Rune Wars,,Pre-modern Runeterra,HISTORICAL_EVENT,Catastrophic wars fought over World Runes and arcane power.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3ARune_Wars,,src:wiki-event:rune-wars,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Rune Wars"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:resurgence-civilizations,Resurgence of Civilizations,,Post-Rune Wars,HISTORICAL_EVENT,The rebuilding and rise of modern powers after the Rune Wars.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AResurgence_of_Civilizations,,src:wiki-event:resurgence-civilizations,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Resurgence of Civilizations"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:first-demacia-noxus-war,First Demacian-Noxian War,,Modern History,HISTORICAL_EVENT,A major war between Demacia and Noxus in the official Wiki chronology.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AFirst_Demacian-Noxian_War,,src:wiki-event:first-demacia-noxus-war,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""First Demacian-Noxian War"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:medarda-succession-war,Medardan Succession War,,Recent History,HISTORICAL_EVENT,A recent conflict tied to the Medarda family and Noxian politics; current continuity requires review.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AMedardan_Succession_War,,src:wiki-event:medarda-succession-war,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Medardan Succession War"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:era-hextech,Era of Hextech,,Recent History,HISTORICAL_EVENT,The technological and political era shaped by hextech in Piltover and Zaun.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3AEra_of_Hextech,,src:wiki-event:era-hextech,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Era of Hextech"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:noxian-invasion-ionia,Noxian Invasion of Ionia,,Recent History,HISTORICAL_EVENT,"Noxus's invasion of Ionia, a defining conflict for many Ionian and Noxian champions.",,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3ANoxian_Invasion_of_Ionia,,src:wiki-event:noxian-invasion-ionia,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Noxian Invasion of Ionia"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
event:rebirth-sun-disc,Rebirth of the Sun Disc,,Recent History / Shurima,HISTORICAL_EVENT,Azir's return and the restoration of the Sun Disc.,,CURRENT_OR_REVIEW,MAIN_RUNETERRA,FALSE,TRUE,https://wiki.leagueoflegends.com/en-us/Universe%3ARebirth_of_the_Sun_Disc,,src:wiki-event:rebirth-sun-disc,NEEDS_OFFICIAL_ASSET,,,,,,,"Riot Games ""Rebirth of the Sun Disc"" Runeterra lore official artwork",Timeline seed from official Wiki index or high-confidence lore. Verify with primary Riot sources before public factual use.
