source_id,entity_id,entity_type,url,source_type,authority_tier,fetch_priority,fetch_status,parser_hint,respect_robots,rate_limit_hint,last_checked_at,notes
src:riot-bio:aatrox,char:aatrox,CHAMPION,https://www.leagueoflegends.com/en-us/champions/aatrox/,CHAMPION_BIO,PRIMARY_OFFICIAL,P0,UNFETCHED,RIOT_CHAMPION,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-universe:aatrox,char:aatrox,CHAMPION,https://wiki.leagueoflegends.com/en-us/Universe%3AAatrox,WIKI_UNIVERSE,OFFICIAL_COMMUNITY_REFERENCE,P1,UNFETCHED,WIKI_UNIVERSE,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-data:aatrox,char:aatrox,CHAMPION,https://wiki.leagueoflegends.com/en-us/Template%3AData_Aatrox,WIKI_REFERENCE,OFFICIAL_COMMUNITY_REFERENCE,P2,UNFETCHED,WIKI_UNIVERSE,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:ddragon:aatrox,char:aatrox,CHAMPION,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Aatrox.json,DATA_DRAGON,PRIMARY_OFFICIAL_STATIC,P0,UNFETCHED,GENERIC,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:riot-bio:ahri,char:ahri,CHAMPION,https://www.leagueoflegends.com/en-us/champions/ahri/,CHAMPION_BIO,PRIMARY_OFFICIAL,P0,UNFETCHED,RIOT_CHAMPION,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-universe:ahri,char:ahri,CHAMPION,https://wiki.leagueoflegends.com/en-us/Universe%3AAhri,WIKI_UNIVERSE,OFFICIAL_COMMUNITY_REFERENCE,P1,UNFETCHED,WIKI_UNIVERSE,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-data:ahri,char:ahri,CHAMPION,https://wiki.leagueoflegends.com/en-us/Template%3AData_Ahri,WIKI_REFERENCE,OFFICIAL_COMMUNITY_REFERENCE,P2,UNFETCHED,WIKI_UNIVERSE,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:ddragon:ahri,char:ahri,CHAMPION,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Ahri.json,DATA_DRAGON,PRIMARY_OFFICIAL_STATIC,P0,UNFETCHED,GENERIC,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:riot-bio:akali,char:akali,CHAMPION,https://www.leagueoflegends.com/en-us/champions/akali/,CHAMPION_BIO,PRIMARY_OFFICIAL,P0,UNFETCHED,RIOT_CHAMPION,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-universe:akali,char:akali,CHAMPION,https://wiki.leagueoflegends.com/en-us/Universe%3AAkali,WIKI_UNIVERSE,OFFICIAL_COMMUNITY_REFERENCE,P1,UNFETCHED,WIKI_UNIVERSE,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-data:akali,char:akali,CHAMPION,https://wiki.leagueoflegends.com/en-us/Template%3AData_Akali,WIKI_REFERENCE,OFFICIAL_COMMUNITY_REFERENCE,P2,UNFETCHED,WIKI_UNIVERSE,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:ddragon:akali,char:akali,CHAMPION,https://ddragon.leagueoflegends.com/cdn/16.18.1/data/en_US/champion/Akali.json,DATA_DRAGON,PRIMARY_OFFICIAL_STATIC,P0,UNFETCHED,GENERIC,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:riot-bio:akshan,char:akshan,CHAMPION,https://www.leagueoflegends.com/en-us/champions/akshan/,CHAMPION_BIO,PRIMARY_OFFICIAL,P0,UNFETCHED,RIOT_CHAMPION,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
src:wiki-universe:akshan,char:akshan,CHAMPION,https://wiki.leagueoflegends.com/en-us/Universe%3AAkshan,WIKI_UNIVERSE,OFFICIAL_COMMUNITY_REFERENCE,P1,UNFETCHED,WIKI_UNIVERSE,TRUE,1-2 req/sec max; cache responses,,Use primary Riot text as highest-priority evidence; Wiki should point back to underlying Riot sources.
